Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses
403.gcc,256,4,64,0.313257,21.268936715933147,5.946901113735537,3183776834,67715548,18933606
403.gcc,256,4,128,0.349107,21.22240316607234,4.638522388882702,3184325473,67579039,14770565
403.gcc,256,4,256,0.395141,21.31567168782511,3.2980814138041024,3184063303,67870448,10501300
403.gcc,256,8,64,0.31311,21.252112369498196,5.953986765506479,3184093742,67668718,18958052
403.gcc,256,8,128,0.349267,21.316270344960635,4.627625340784766,3184164861,67874519,14735122
403.gcc,256,8,256,0.395963,21.306864694554523,3.277574261356895,3184275677,67846931,10436700
403.gcc,512,4,64,0.348525,21.029461396849143,4.669202978189888,3184176415,66961515,14867566
403.gcc,512,4,128,0.385479,21.115094975124034,3.5638476233839924,3184236589,67235458,11348134
403.gcc,512,4,256,0.428459,21.198609271262082,2.5179362693736884,3184212046,67500867,8017643
403.gcc,512,8,64,0.351662,21.17218602303437,4.558305793844084,3184239640,67417314,14514738
403.gcc,512,8,128,0.38798,21.190393994895143,3.4924170565500967,3184292374,67476410,11120877
403.gcc,512,8,256,0.430527,21.130039105999106,2.4771923021324787,3184242900,67283177,7887982
403.gcc,1024,8,64,0.380452,21.042177309605734,3.705371542656348,3184304695,67004704,11799032
403.gcc,1024,8,128,0.414805,21.20091110765588,2.825071227937629,3184151929,67506922,8995456
403.gcc,1024,8,256,0.460429,21.17412061131587,1.8711535453710058,3184050296,67419465,5957847
403.gcc,1024,16,64,0.380291,21.255736019808662,3.696972238065017,3184405844,67686890,11772660
403.gcc,1024,16,128,0.416049,21.06297530460516,2.80454440374736,3184466963,67074349,8930979
403.gcc,1024,16,256,0.462068,21.157047773657666,1.8413611217971915,3184176059,67367765,5863218
403.gcc,2048,16,64,0.429906,21.249958175366057,2.483396731686168,3184158173,67663228,7907528
403.gcc,2048,16,128,0.448069,21.22220898527318,2.107890666759486,3184100630,67573649,6711736
403.gcc,2048,16,256,0.485189,21.189651957864875,1.4268866244396734,3183993684,67467718,4543198
429.mcf,256,4,64,0.0284444,174.50544925996942,124.34534996037694,18199718596,3175950070,2263050378
429.mcf,256,4,128,0.0381443,174.75195609337652,88.57027654011536,18199718596,3180436425,1611954109
429.mcf,256,4,256,0.0505588,175.96843319895473,62.747971402755205,18199718596,3202575966,1141995422
429.mcf,256,8,64,0.0285351,174.49270164528647,123.89898921270112,18199718596,3175718067,2254926738
429.mcf,256,8,128,0.0385056,174.5839566276775,87.59627142533868,18199718596,3177378882,1594227490
429.mcf,256,8,256,0.050974,175.58569327013345,62.1265109697084,18199718596,3195610207,1130685017
429.mcf,512,4,64,0.0299551,174.4609750008906,117.25574435359802,18199718596,3175140651,2134021551
429.mcf,512,4,128,0.0410864,174.48209258015277,81.07731271868728,18199718596,3175524985,1475584276
429.mcf,512,4,256,0.0591122,174.73732037257702,51.37405378374895,18199718596,3180170059,934993322
429.mcf,512,8,64,0.02996,174.49944883752204,117.23154650692929,18199718596,3175840864,2133581157
429.mcf,512,8,128,0.041288,174.45696927961447,80.60331242277633,18199718596,3175067748,1466957604
429.mcf,512,8,256,0.0604194,174.50496930749358,49.92393751624795,18199718596,3175941335,908601614
429.mcf,1024,8,64,0.0327586,174.41859275217993,105.83048824850083,18199718596,3174369306,1926085105
429.mcf,1024,8,128,0.0448278,174.42096207452812,72.95540098580544,18199718596,3174412427,1327767768
429.mcf,1024,8,256,0.0688304,174.44540399090465,41.837517046409175,18199718596,3174857263,761431037
429.mcf,1024,16,64,0.0325825,174.45270152131974,106.48861172095015,18199718596,3174990076,1938062767
429.mcf,1024,16,128,0.0447268,174.42568253213005,73.15662025085521,18199718596,3174498338,1331429902
429.mcf,1024,16,256,0.0689205,174.4354321883714,41.762077363495514,18199718596,3174675779,760058056
429.mcf,2048,16,64,0.0449102,174.43648934757408,72.79078146247619,18199718596,3174695019,1324771739
429.mcf,2048,16,128,0.0531505,174.420051291215,58.98315549977419,18199718596,3174395851,1073476832
429.mcf,2048,16,256,0.0820675,174.43946620678838,32.46434470310203,18199718596,3174749197,590841938
433.milc,256,4,64,0.142594,36.284122897962924,20.49481035123195,38323372041,1390529941,785430242
433.milc,256,4,128,0.198086,36.29036117991118,12.635947313872228,38323372041,1390769013,484252110
433.milc,256,4,256,0.23922,36.33587899076911,9.16091307477856,38323372041,1392513409,351077080
433.milc,256,8,64,0.142645,36.2642072444243,20.485890937782784,38323372041,1389766706,785088420
433.milc,256,8,128,0.1982,36.272266503919255,12.625433520890521,38323372041,1390075564,483849186
433.milc,256,8,256,0.239464,36.298508225555274,9.146172802407657,38323372144,1391081239,350512184
433.milc,512,4,64,0.14305,36.26195451990132,20.40657724908263,38323372041,1389680374,782048852
433.milc,512,4,128,0.198655,36.2732632585879,12.579083502470962,38323372041,1390113763,482072897
433.milc,512,4,256,0.240027,36.280511498635846,9.108040352674873,38323372041,1390391540,349050819
433.milc,512,8,64,0.143047,36.26788528715627,20.406938203749803,38323372041,1389907661,782062685
433.milc,512,8,128,0.198708,36.26391288788462,12.574302965545423,38323372144,1389755429,481889692
