Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses,Policy
403.gcc,256,8,256,0.247246,35.10035241745967,8.526244930381313,3184133956,111764224,27148706,LFU
403.gcc,512,8,256,0.305883,33.81812532206376,5.501847905814645,3184212341,107684092,17519052,LFU
403.gcc,1024,16,256,0.336406,32.96512669071691,4.366540595855373,3184062691,104963030,13903339,LFU
403.gcc,2048,16,256,0.376684,32.83552164910465,3.1029283808787707,3184167595,104553804,9880244,LFU
429.mcf,256,8,256,0.0379421,196.70277123743904,87.8120633522987,18199718649,3579935094,1598154847,LFU
429.mcf,512,8,256,0.0412715,186.8082598181708,79.9009359455071,18199718649,3399857770,1454174554,LFU
429.mcf,1024,16,256,0.0415061,186.58381816174855,79.36667960959753,18199718649,3395772995,1444451239,LFU
429.mcf,2048,16,256,0.0453424,185.3790553616816,71.285337868192,18199718649,3373846651,1297373093,LFU
433.milc,256,8,256,0.203833,39.62275838554761,11.866656537544094,38323372094,1518477713,454770294,LFU
433.milc,512,8,256,0.219078,39.26652678968193,10.5224330732403,38323372094,1504825717,403255118,LFU
433.milc,1024,16,256,0.22423,38.3846283252905,10.155804401693944,38323372094,1471028394,389204671,LFU
433.milc,2048,16,256,0.236811,37.60605304942976,9.254828179786637,38323372094,1441190764,354676224,LFU
444.namd,256,8,256,0.389708,29.650241650020458,3.3186053032468537,60533959493,1794846527,200888319,LFU
444.namd,512,8,256,0.500256,28.045149199785026,1.1467063756421176,60533958365,1697683894,69414676,LFU
444.namd,1024,16,256,0.507218,28.29189530166711,1.0221617798464397,60533957755,1712620395,61875498,LFU
444.namd,2048,16,256,0.556109,27.906320949374773,0.35196322145077846,60533958384,1689280071,21305727,LFU
450.soplex,256,8,256,0.166873,60.1952463002897,14.939947121843785,7441657731,447952420,111177973,LFU
450.soplex,512,8,256,0.199065,57.90829493630763,11.200342185035433,7436996176,430663768,83296902,LFU
450.soplex,1024,16,256,0.206676,58.24613505690916,10.440141804727272,7437921290,433230168,77652953,LFU
450.soplex,2048,16,256,0.226264,57.476659259359145,8.810858874086053,7439826575,427616377,65551262,LFU
459.GemsFDTD,256,8,256,0.0800833,108.52939265385916,37.80430025998627,108731492257,11800562817,4110517981,LFU
459.GemsFDTD,512,8,256,0.089155,171.07894502875004,28.968989905996143,108731492545,18601669036,3149841510,LFU
459.GemsFDTD,1024,16,256,0.0885714,168.2491973556385,29.434379266380354,108731492349,18293986315,3200443984,LFU
459.GemsFDTD,2048,16,256,0.0939466,181.50870418829072,26.054921080371564,108731492345,19735712280,2832990452,LFU
470.lbm,256,8,256,0.102847,90.47582663856403,28.140258113680567,96483397879,8729415180,2715067720,LFU
470.lbm,512,8,256,0.106772,88.49705825771335,26.829387002376883,96483397879,8538496883,2588590421,LFU
470.lbm,1024,16,256,0.106771,88.49809897562139,26.82987811277558,96483397879,8538597295,2588637805,LFU
470.lbm,2048,16,256,0.119058,86.51254522014263,23.082604033006746,96483397879,8347024322,2227088069,LFU
