Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses,Policy
403.gcc,256,8,256,0.396564,20.88445162426703,3.2876381369793863,3184105295,66498293,10468186,Random
403.gcc,512,8,256,0.42978,20.79114180551629,2.513643520611529,3184111802,66201320,8003722,Random
403.gcc,1024,16,256,0.460414,20.87010235664245,1.8896837558580821,3184250794,66455640,6017227,Random
403.gcc,2048,16,256,0.492954,20.61884515220798,1.3312553468188089,3184229840,65655142,4239023,Random
429.mcf,256,8,256,0.0496435,177.33110168578784,64.12501055134446,18199718596,3227376149,1167057147,Random
429.mcf,512,8,256,0.0575122,176.4473612084194,53.1540109753464,18199718596,3211292321,967388042,Random
429.mcf,1024,16,256,0.0688416,176.1727026210554,41.7244144185228,18199718596,3206293612,759372601,Random
429.mcf,2048,16,256,0.092993,176.06476738075824,26.640451798335047,18199718596,3204329221,484848726,Random
433.milc,256,8,256,0.238589,36.70686302069188,9.182919149794552,38323372041,1406730768,351920427,Random
433.milc,512,8,256,0.239897,36.53783332131898,9.10163414510738,38323373192,1400253022,348805322,Random
433.milc,1024,16,256,0.241578,36.604167490773754,8.981638584197466,38323372041,1402795129,344206677,Random
433.milc,2048,16,256,0.245327,36.55648423894391,8.731446064871607,38323372041,1400967746,334618456,Random
444.namd,256,8,256,0.681229,10.370925524271037,0.08299977478446599,60533959436,627793185,5024305,Random
444.namd,512,8,256,0.684271,10.425765258733996,0.053601366489517015,60533960466,631112862,3244703,Random
444.namd,1024,16,256,0.686281,10.38899569031008,0.038691423217455216,60533958310,628887032,2342145,Random
444.namd,2048,16,256,0.687176,10.41825906693853,0.029338854580822762,60533958308,630658460,1775997,Random
450.soplex,256,8,256,0.236469,53.10656608745297,8.309737993908776,7435398089,394868460,61786210,Random
450.soplex,512,8,256,0.250513,52.91008868159058,7.375478604417398,7456343371,394515789,54994101,Random
450.soplex,1024,16,256,0.26398,53.04820086074777,6.550319147741631,7434989945,394412840,48701557,Random
450.soplex,2048,16,256,0.276044,52.93831012043697,5.896135739528227,7449740464,394376671,43924681,Random
459.GemsFDTD,256,8,256,0.166327,68.19418185081507,14.32537473120798,108731492420,7414855167,1557619374,Random
459.GemsFDTD,512,8,256,0.193604,68.0189714065887,10.947622591501244,108731492436,7395804275,1190351343,Random
459.GemsFDTD,1024,16,256,0.213906,67.97531418450846,8.989331170260048,108731492420,7391057359,977423394,Random
459.GemsFDTD,2048,16,256,0.221914,68.00533393248904,8.312732143035916,108731492420,7394321451,903855772,Random
470.lbm,256,8,256,0.164923,85.06461594357656,13.826069707927742,96483397826,8207323181,1333986184,Random
470.lbm,512,8,256,0.177486,85.09353758256188,12.107611623574083,96483397826,8210113639,1168183509,Random
470.lbm,1024,16,256,0.185469,85.06708194296465,11.139126525562542,96483397826,8207561109,1074740776,Random
470.lbm,2048,16,256,0.190582,85.08593426409954,10.559468488426864,96483397826,8209380045,1018813399,Random
