Benchmark,L2_Size_KB,L2_Assoc,L2_Block_B,IPC,L1_MPKI,L2_MPKI,Total_Instructions,L1_Total_Misses,L2_Total_Misses,Policy
403.gcc,256,8,256,0.393857,21.126937701063447,3.3423869115950113,3184122988,67270768,10642571,SRRIP
403.gcc,512,8,256,0.429065,21.08553228883244,2.5114943309597146,3184075274,67137922,7996787,SRRIP
403.gcc,1024,16,256,0.459951,21.02365078044707,1.8892064239090423,3184118434,66941794,6015457,SRRIP
403.gcc,2048,16,256,0.48774,20.96200420429708,1.3973791746938868,3183997644,66742972,4449252,SRRIP
429.mcf,256,8,256,0.0516726,176.52194961443456,61.009541226864805,18199718596,3212649809,1110356482,SRRIP
429.mcf,512,8,256,0.0589455,175.77413739260214,51.5032349569412,18199718596,3199039837,937344383,SRRIP
429.mcf,1024,16,256,0.112846,89.29887886938543,24.23188288517594,7920036421,707250373,191917395,SRRIP
429.mcf,2048,16,256,0.0809156,175.56643253276815,33.09058026492576,18199718596,3195259667,602239249,SRRIP
433.milc,256,8,256,0.236495,36.54795988467647,9.340896610481542,38323372041,1400641064,357974656,SRRIP
433.milc,512,8,256,0.238551,36.439764264636466,9.201578285510347,38323372041,1396494643,352635508,SRRIP
433.milc,1024,16,256,0.241451,35.212431441241634,9.078372344042615,27017137842,951339114,245271637,SRRIP
433.milc,2048,16,256,0.245725,36.36098119208299,8.716783915638006,38323372041,1393475410,334056553,SRRIP
444.namd,256,8,256,0.688492,9.734870271693994,0.059218778284504156,60533957367,589290222,3584747,SRRIP
444.namd,512,8,256,0.691921,9.492773170409643,0.04495379336973319,60533957115,574635124,2721231,SRRIP
444.namd,1024,16,256,0.69346,9.48197638726815,0.03277416541862831,60533959436,573981574,1983950,SRRIP
444.namd,2048,16,256,0.694183,9.493727460659477,0.026055093945531946,60533959436,574692913,1577218,SRRIP
450.soplex,256,8,256,0.227405,52.979777695812686,8.991596511944302,7435026573,393906055,66852759,SRRIP
450.soplex,512,8,256,0.248083,52.47089350805746,7.556336365166533,7440030232,390385034,56219371,SRRIP
450.soplex,1024,16,256,0.267014,52.36951767927183,6.418929207894971,7435339206,389385128,47726916,SRRIP
450.soplex,2048,16,256,0.282827,52.0939200799417,5.60031461745528,7461658470,388707040,41787635,SRRIP
459.GemsFDTD,256,8,256,0.153074,84.36985030578504,15.436970169750568,108731492420,9173659739,1678484805,SRRIP
459.GemsFDTD,512,8,256,0.165358,84.2460901908404,13.50328510463758,108731492420,9160203117,1468232342,SRRIP
459.GemsFDTD,1024,16,256,0.163143,80.70021396106235,14.081407877207141,22017479481,1776815305,310037109,SRRIP
459.GemsFDTD,2048,16,256,0.19699,84.09183161489035,9.628111310031645,108731492220,9143430335,1046878910,SRRIP
470.lbm,256,8,256,0.183476,82.72014010527805,11.514235599408272,96483397826,7981120186,1110932574,SRRIP
470.lbm,512,8,256,0.188987,82.54099743006701,10.889279665448088,96483397826,7963835892,1050634702,SRRIP
470.lbm,1024,16,256,0.181536,82.17853120114438,11.762750046856851,13687443698,1124814019,161001979,SRRIP
470.lbm,2048,16,256,0.194361,82.35114528542103,10.315468945184659,96483397826,7945518312,995271494,SRRIP
